epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.63637,3.09545,5.37724,2.40148,0,0,0,0,3.21874,5.37884,2.4556,0,0,0
2,2.94404,2.2054,5.14839,1.701,0,0,0,0,3.21766,5.36799,2.45703,9.00001e-06,9.00001e-06,9.00001e-06
3,4.29444,2.90565,5.27899,2.20747,0,0,0,0,3.18474,5.32735,2.44453,1.782e-05,1.782e-05,1.782e-05
4,5.58047,3.33734,5.3613,2.37445,0,0,0,0,3.15716,5.33473,2.42063,2.64601e-05,2.64601e-05,2.64601e-05
5,6.85009,3.1894,5.27841,2.39694,0,0,0,0,3.1897,5.29655,2.40495,3.49201e-05,3.49201e-05,3.49201e-05
6,8.10547,2.42905,5.04419,1.87808,0,0,0,0,3.15756,5.2069,2.38345,4.32002e-05,4.32002e-05,4.32002e-05
7,9.37351,1.87773,4.95959,1.70429,0,0,0,0,3.06513,5.18117,2.31143,5.13003e-05,5.13003e-05,5.13003e-05
8,10.666,1.96459,5.01123,1.81052,0,0,0,0,3.00166,5.18281,2.27808,5.92204e-05,5.92204e-05,5.92204e-05
9,12.0616,2.53708,5.43489,1.99607,0,0,0,0,2.95277,5.08541,2.18434,6.69606e-05,6.69606e-05,6.69606e-05
10,13.4534,2.86111,5.30537,2.0992,0,0,0,0,2.72292,5.04466,2.09176,7.45207e-05,7.45207e-05,7.45207e-05
11,14.8499,2.35154,5.03779,1.68139,0,0,0,0,2.52414,4.99643,2.01161,8.19009e-05,8.19009e-05,8.19009e-05
12,16.2659,3.10414,5.08588,2.33506,0,0,0,0,2.35577,4.95924,1.91501,8.91011e-05,8.91011e-05,8.91011e-05
13,17.5925,2.1856,4.63498,1.53432,0,0,0,0,2.07777,4.9017,1.78527,9.61213e-05,9.61213e-05,9.61213e-05
14,18.8111,2.41095,4.84173,1.74055,0,0,0,0,2.02989,4.86612,1.74486,0.000102962,0.000102962,0.000102962
15,20.0219,1.81005,4.34287,1.46239,0,0,0,0,2.1308,4.80934,1.7331,0.000109622,0.000109622,0.000109622
16,21.3013,2.0106,4.37167,1.46689,0,0,0,0,2.21327,4.72841,1.67149,0.000116102,0.000116102,0.000116102
17,22.7154,2.59928,4.51242,1.79384,0,0,0,0,2.19139,4.74168,1.65441,0.000122402,0.000122402,0.000122402
18,23.8922,2.40739,4.88676,1.81804,0,0,0,0,2.19139,4.74168,1.65441,0.000128523,0.000128523,0.000128523
19,25.1524,1.94204,4.25706,1.41822,0,0,0,0,2.18548,4.73877,1.63628,0.000134463,0.000134463,0.000134463
20,26.3994,1.78803,4.05952,1.35677,0,0,0,0,2.18548,4.73877,1.63628,0.000140223,0.000140223,0.000140223
21,27.7355,1.98712,4.23262,1.54816,0,0,0,0,2.1253,4.75974,1.61554,0.000145804,0.000145804,0.000145804
22,28.9609,1.95688,4.08283,1.4697,0,0,0,0,2.1253,4.75974,1.61554,0.000151204,0.000151204,0.000151204
23,30.2273,1.9098,3.88885,1.36524,0,0,0,0,2.0797,4.73276,1.55876,0.000156424,0.000156424,0.000156424
24,31.5831,1.77897,4.22739,1.3807,0,0,0,0,2.0797,4.73276,1.55876,0.000161465,0.000161465,0.000161465
25,32.9,1.6264,3.85057,1.26697,0,0,0,0,2.0972,4.68167,1.52929,0.000166325,0.000166325,0.000166325
26,34.2444,1.98329,3.8543,1.50478,0,0,0,0,2.0972,4.68167,1.52929,0.000171006,0.000171006,0.000171006
27,35.5186,2.15215,4.20703,1.53675,0.00461,0.07143,0.07189,0.05032,2.10315,4.61606,1.49732,0.000175506,0.000175506,0.000175506
28,36.8536,1.70206,3.53636,1.26681,0.00461,0.07143,0.07189,0.05032,2.10315,4.61606,1.49732,0.000179827,0.000179827,0.000179827
29,38.1799,1.62816,3.51075,1.28018,0.0042,0.07143,0.07179,0.05743,2.11616,4.58481,1.49485,0.000183967,0.000183967,0.000183967
30,39.4214,1.85409,3.69815,1.34359,0.0042,0.07143,0.07179,0.05743,2.11616,4.58481,1.49485,0.000187928,0.000187928,0.000187928
31,40.7217,2.5786,4.52369,1.59085,0.00475,0.14286,0.07421,0.05118,2.17674,4.52542,1.50656,0.000191708,0.000191708,0.000191708
32,41.9443,2.06346,3.69879,1.39462,0.00475,0.14286,0.07421,0.05118,2.17674,4.52542,1.50656,0.000195309,0.000195309,0.000195309
33,43.3038,1.96538,3.72994,1.40383,0.0038,0.14286,0.08936,0.05311,2.16752,4.46322,1.47583,0.000198729,0.000198729,0.000198729
34,44.5895,1.89466,3.26488,1.20461,0.0038,0.14286,0.08936,0.05311,2.16752,4.46322,1.47583,0.00020197,0.00020197,0.00020197
35,45.8719,2.00401,3.74039,1.32178,0.00369,0.14286,0.08933,0.06073,2.08474,4.39794,1.42231,0.00020503,0.00020503,0.00020503
36,47.1261,1.74536,3.15182,1.15448,0.00369,0.14286,0.08933,0.06073,2.08474,4.39794,1.42231,0.000207911,0.000207911,0.000207911
37,48.4796,2.45911,4.24984,1.67269,0.00339,0.14286,0.08572,0.06423,2.01605,4.38541,1.40601,0.000210612,0.000210612,0.000210612
38,49.7869,1.841,3.37277,1.29653,0.00339,0.14286,0.08572,0.06423,2.01605,4.38541,1.40601,0.000213132,0.000213132,0.000213132
39,51.0946,1.71703,3.23627,1.2514,0.00324,0.14286,0.08568,0.06355,1.9711,4.41845,1.4322,0.000215473,0.000215473,0.000215473
40,52.4181,1.68548,3.3295,1.22047,0.00324,0.14286,0.08568,0.06355,1.9711,4.41845,1.4322,0.000217634,0.000217634,0.000217634
41,53.6528,1.70706,3.22577,1.29631,0.00324,0.14286,0.1069,0.09264,1.83264,4.36996,1.37504,0.000219614,0.000219614,0.000219614
42,54.8812,1.7462,2.9275,1.26589,0.00324,0.14286,0.1069,0.09264,1.83264,4.36996,1.37504,0.000221415,0.000221415,0.000221415
43,56.2224,1.58783,2.49607,1.14285,0.00299,0.14286,0.10683,0.08901,1.81019,4.31155,1.33517,0.000223036,0.000223036,0.000223036
44,57.4939,1.43113,2.27032,1.08383,0.00299,0.14286,0.10683,0.08901,1.81019,4.31155,1.33517,0.000224477,0.000224477,0.000224477
45,58.8328,1.75569,3.08078,1.35133,0.0029,0.14286,0.10681,0.08898,1.74736,4.25644,1.28549,0.000225737,0.000225737,0.000225737
46,60.1123,1.94882,3.45176,1.3989,0.0029,0.14286,0.10681,0.08898,1.74736,4.25644,1.28549,0.000226818,0.000226818,0.000226818
47,61.3803,1.50215,2.65876,1.18168,0.00271,0.14286,0.10676,0.08541,1.6933,4.22565,1.25529,0.000227719,0.000227719,0.000227719
48,62.6611,1.47066,2.67151,1.15312,0.00271,0.14286,0.10676,0.08541,1.6933,4.22565,1.25529,0.00022844,0.00022844,0.00022844
49,64.0699,1.78322,3.32133,1.22607,0.00265,0.14286,0.10675,0.07829,1.70004,4.20504,1.24369,0.000228981,0.000228981,0.000228981
50,65.4275,1.56602,2.53975,1.10357,0.00265,0.14286,0.10675,0.07829,1.70004,4.20504,1.24369,0.000229342,0.000229342,0.000229342
51,66.7472,1.79424,3.13343,1.23502,0.00266,0.14286,0.09496,0.06887,1.68487,4.18796,1.2348,0.000229523,0.000229523,0.000229523
52,67.9734,1.83376,2.69376,1.15157,0.00266,0.14286,0.09496,0.06887,1.68487,4.18796,1.2348,0.000229523,0.000229523,0.000229523
53,69.2005,1.48953,2.57958,1.09744,0.00266,0.14286,0.09496,0.06887,1.68487,4.18796,1.2348,0.000229344,0.000229344,0.000229344
54,70.4499,1.66942,2.71738,1.14563,0.00255,0.14286,0.09494,0.06885,1.74734,4.16566,1.25091,0.000228985,0.000228985,0.000228985
55,71.7455,2.03463,3.65145,1.36924,0.00255,0.14286,0.09494,0.06885,1.74734,4.16566,1.25091,0.000228446,0.000228446,0.000228446
56,72.9563,2.18897,3.3247,1.24386,0.00255,0.14286,0.09494,0.06885,1.74734,4.16566,1.25091,0.000227727,0.000227727,0.000227727
57,74.3153,1.61557,3.07456,1.18858,0.88864,0.07143,0.09495,0.06886,1.71865,4.12243,1.24765,0.000226828,0.000226828,0.000226828
58,75.6502,1.73417,2.81152,1.18459,0.88864,0.07143,0.09495,0.06886,1.71865,4.12243,1.24765,0.000225749,0.000225749,0.000225749
59,76.9435,1.75749,2.72579,1.15897,0.88864,0.07143,0.09495,0.06886,1.71865,4.12243,1.24765,0.00022449,0.00022449,0.00022449
60,78.2171,1.72696,2.64101,1.23341,0.73019,0.07143,0.09496,0.06647,1.72378,4.09995,1.26783,0.000223051,0.000223051,0.000223051
