epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86561,2.92033,4.78218,2.07846,0,0,0,0,3.52688,4.79185,2.30254,0.0964,0.0004,0.0004
2,13.8896,3.09056,4.37226,1.96268,9e-05,0.01,0.00013,6e-05,3.45373,4.7807,2.81677,0.091897,0.00089703,0.00089703
3,19.6505,2.86624,4.30439,1.88594,0.00024,0.01,0.0013,0.00043,3.39514,4.66319,2.45472,0.0873908,0.00139076,0.00139076
4,25.6198,2.72582,3.75047,1.85142,0,0,0,0,3.65562,4.66286,2.75873,0.0828812,0.00188119,0.00188119
5,31.6031,2.70512,3.70279,1.69008,0.00113,0.07,0.00181,0.00048,3.76822,5.12047,3.04282,0.0783683,0.00236832,0.00236832
6,38.284,2.75549,3.67331,1.67806,0.0008,0.07,0.01526,0.00199,3.54562,4.9578,2.65232,0.0738522,0.00285215,0.00285215
7,44.526,2.84122,3.60056,1.80754,0.00488,0.08,0.00664,0.00262,3.55524,4.62505,2.57861,0.0693327,0.00333268,0.00333268
8,50.5667,2.8195,3.50871,1.79855,0.88551,0.01,0.027,0.00641,3.49347,4.47767,2.39399,0.0648099,0.00380991,0.00380991
9,56.5717,2.93757,3.22951,1.7831,0.78832,0.01,0.01471,0.00434,3.6522,4.87779,2.70058,0.0602838,0.00428384,0.00428384
10,62.9593,3.03088,3.53837,1.83225,0.45104,0.01972,0.00649,0.00218,4.04093,7.75203,3.34351,0.0557545,0.00475447,0.00475447
11,71.8022,2.96411,3.57053,1.83803,0,0,0,0,4.60062,153.902,5.41658,0.0512218,0.0052218,0.0052218
12,80.8423,2.88073,3.47971,1.80625,0,0,0,0,5.4824,1527.63,8.35132,0.0466858,0.00568583,0.00568583
13,89.4327,3.03338,3.25135,1.80954,0,0,0,0,5.308,3584.63,7.84505,0.0421466,0.00614656,0.00614656
14,98.0491,2.76716,3.0929,1.68307,0,0,0,0,5.308,3584.63,7.84505,0.037604,0.00660399,0.00660399
15,106.689,3.01073,3.59426,1.85474,0,0,0,0,5.49588,5515.16,14.7343,0.0330581,0.00705812,0.00705812
16,115.265,2.83541,3.50103,1.83484,0.10024,0.01,0.00012,2e-05,4.42679,1304.53,7.80024,0.028509,0.00750895,0.00750895
17,124.433,3.09979,3.43548,1.92191,0.00089,0.03,0.00057,0.00011,3.95654,1239.57,6.32505,0.0239565,0.00795648,0.00795648
18,133.473,2.96376,3.17742,1.90628,0.00089,0.03,0.00057,0.00011,3.95654,1239.57,6.32505,0.0194007,0.00840071,0.00840071
19,142.149,2.96422,3.45262,1.82683,0.00026,0.01,0.00013,3e-05,4.04101,2330.82,5.97283,0.0148416,0.00884164,0.00884164
20,150.971,2.67492,2.96907,1.73737,0.00016,0.01,0.00028,3e-05,3.87138,1419.54,5.01849,0.0102793,0.00927927,0.00927927
21,159.696,2.77659,3.30138,1.70362,0.00016,0.01,0.00028,3e-05,3.87138,1419.54,5.01849,0.00934,0.00934,0.00934
22,168.396,2.79252,3.14856,1.80699,0.00164,0.01,0.00033,9e-05,4.22636,2116.33,9.21809,0.009307,0.009307,0.009307
23,176.954,2.6747,3.01376,1.72543,0.20107,0.03,0.00075,0.00021,4.03087,591.123,5.21712,0.009274,0.009274,0.009274
24,185.423,2.8279,3.12728,1.80342,0.20107,0.03,0.00075,0.00021,4.03087,591.123,5.21712,0.009241,0.009241,0.009241
25,193.944,2.84052,3.18729,1.76842,0.2005,0.02,0.00029,0.00012,4.17461,666.467,7.17559,0.009208,0.009208,0.009208
