epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7393,2.53229,4.69223,1.7704,0,0,0,0,3.37683,4.9866,2.08832,0.0955,0.0005,0.0005
2,27.3962,2.42456,4.15197,1.6142,0.00026,0.01875,0.00099,0.00017,3.40704,4.99995,2.72348,0.0900946,0.00109455,0.00109455
3,40.3151,2.76639,4.0684,1.77961,2e-05,0.00625,3e-05,2e-05,3.52531,5.20694,2.68836,0.0846832,0.00168317,0.00168317
4,53.3239,3.04112,4.38754,1.89814,2e-05,0.00625,9e-05,4e-05,3.70004,5.24464,3.26795,0.0792658,0.00226584,0.00226584
5,68.7044,2.7205,3.62369,1.72218,6e-05,0.01875,7e-05,2e-05,3.1795,5.06811,2.86206,0.0738426,0.00284258,0.00284258
6,82.619,2.87283,3.8199,1.77675,4e-05,0.0125,2e-05,1e-05,3.63284,5.28172,4.04358,0.0684134,0.00341337,0.00341337
7,90.3602,3.07173,3.92541,1.82418,0,0,0,0,3.71418,5.41835,7.51788,0.0629782,0.00397823,0.00397823
8,98.0826,2.78126,3.48759,1.68935,0.00035,0.00625,0.00024,5e-05,3.63179,10.4776,8.82027,0.0575371,0.00453714,0.00453714
9,105.828,2.74504,3.36499,1.78461,0.00012,0.00714,7e-05,3e-05,3.70006,98.0692,10.2948,0.0520901,0.00509012,0.00509012
10,116.604,2.80777,3.38819,1.77101,0.00034,0.02589,0.00031,8e-05,4.03809,175.949,4.12976,0.0466372,0.00563715,0.00563715
11,128.001,2.81639,3.32852,1.79876,0,0,0,0,4.20255,1204.13,5.96938,0.0411782,0.00617825,0.00617825
12,139.373,2.77389,3.251,1.73283,0.00014,0.00714,8e-05,2e-05,3.91019,725.295,4.99953,0.0357134,0.00671341,0.00671341
13,155.404,2.69768,3.23294,1.74706,0.00018,0.02143,0.00012,4e-05,3.90701,961.877,6.92796,0.0302426,0.00724262,0.00724262
14,171.094,2.95258,3.57318,1.89761,0,0,0,0,3.89843,955.14,5.96715,0.0247659,0.0077659,0.0077659
15,185.565,2.75134,3.26674,1.78684,0,0,0,0,3.89843,955.14,5.96715,0.0192832,0.00828323,0.00828323
16,203.455,2.86827,3.24331,1.65117,0,0,0,0,3.94928,3291.82,10.8415,0.0137946,0.00879463,0.00879463
17,221.176,2.69044,3.15452,1.84016,0,0,0,0,4.13707,3068.96,10.3404,0.009208,0.009208,0.009208
18,239.463,2.66737,3.04414,1.66044,0,0,0,0,4.13329,2323.71,5.62181,0.0091585,0.0091585,0.0091585
19,256.707,2.70667,2.87567,1.70899,0,0,0,0,4.13329,2323.71,5.62181,0.009109,0.009109,0.009109
20,274.564,2.73182,3.04015,1.74904,0,0,0,0,4.19152,3227.85,5.15535,0.0090595,0.0090595,0.0090595
21,292.09,2.72537,2.89935,1.63899,0,0,0,0,4.12577,2430.42,4.37926,0.00901,0.00901,0.00901
22,308.933,2.73325,2.89688,1.71958,0,0,0,0,3.92731,2140.84,4.15201,0.0089605,0.0089605,0.0089605
23,326.114,2.59718,2.74947,1.62796,0,0,0,0,3.92731,2140.84,4.15201,0.008911,0.008911,0.008911
24,343.446,2.7842,2.93865,1.72072,0,0,0,0,3.66342,309.305,3.80796,0.0088615,0.0088615,0.0088615
25,360.772,2.63911,2.77735,1.646,0.10182,0.00714,0.00286,0.002,3.78681,111.88,3.24921,0.008812,0.008812,0.008812
26,378.995,2.58434,2.64187,1.57075,0,0,0,0,4.03,62.289,3.63754,0.0087625,0.0087625,0.0087625
27,397.271,2.51275,2.74061,1.61396,0,0,0,0,4.03,62.289,3.63754,0.008713,0.008713,0.008713
28,414.074,2.43326,2.55034,1.56462,0,0,0,0,4.13392,141.891,3.70999,0.0086635,0.0086635,0.0086635
29,432.822,2.72237,2.64618,1.64661,0,0,0,0,4.4122,153.306,3.87972,0.008614,0.008614,0.008614
30,449.335,2.50751,2.57015,1.59562,0.2002,0.00714,9e-05,1e-05,3.96598,135.546,3.17102,0.0085645,0.0085645,0.0085645
31,465.608,2.5918,2.85801,1.73726,0.2002,0.00714,9e-05,1e-05,3.96598,135.546,3.17102,0.008515,0.008515,0.008515
32,481.156,2.43784,2.61152,1.62046,0,0,0,0,3.73046,26.1627,2.72154,0.0084655,0.0084655,0.0084655
33,493.257,2.61991,2.64728,1.56863,0.30316,0.05911,0.04528,0.01212,3.39616,5.41168,2.41235,0.008416,0.008416,0.008416
34,506.178,2.54931,2.57381,1.58927,0.45802,0.06429,0.04976,0.02228,3.23954,5.90482,2.19814,0.0083665,0.0083665,0.0083665
