epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46251,3.09545,5.37724,2.40148,0,0,0,0,3.20564,5.15319,2.55258,0.1,0,0
2,2.75492,1.94755,4.99066,1.60522,0,0,0,0,2.9872,4.89852,2.23537,0.0990997,9.967e-05,9.967e-05
3,4.11153,2.19964,4.73626,1.69277,0,0,0,0,2.96249,4.81301,2.18929,0.0981987,0.00019868,0.00019868
4,5.36676,2.57092,4.52321,1.79863,0.14286,0.07143,0.10714,0.05357,3.10809,4.79916,2.22113,0.097297,0.00029703,0.00029703
5,6.56189,2.56648,4.61311,2.03358,0.00063,0.07143,0.02373,0.00712,3.10403,4.822,2.14474,0.0963947,0.00039472,0.00039472
6,7.76893,1.9931,3.99121,1.39746,0.00024,0.07143,0.01185,0.00711,2.91607,4.73245,2.03441,0.0954918,0.00049175,0.00049175
7,9.01579,1.88202,3.61609,1.50035,0.00024,0.07143,0.02363,0.01418,2.82292,4.6532,1.90142,0.0945881,0.00058812,0.00058812
8,10.2656,1.86015,3.7768,1.56034,0.00024,0.07143,0.07078,0.03539,2.63016,4.50104,1.78111,0.0936838,0.00068383,0.00068383
9,11.422,2.44845,4.6836,1.86465,0.00024,0.07143,0.07078,0.03539,2.63016,4.50104,1.78111,0.0927789,0.00077888,0.00077888
10,12.7302,2.62217,4.30863,1.75847,0.00024,0.07143,0.07078,0.04247,2.77257,4.58683,1.8733,0.0918733,0.00087327,0.00087327
11,14.1044,2.31048,3.43297,1.54766,0.00024,0.07143,0.07078,0.04247,2.77257,4.58683,1.8733,0.090967,0.000967,0.000967
12,15.4878,2.69069,4.16087,1.9506,0.00026,0.07143,0.07078,0.04247,3.16768,4.57827,2.08022,0.0900601,0.00106007,0.00106007
13,16.7115,2.04566,3.12197,1.36899,0.00026,0.07143,0.07078,0.04247,3.16768,4.57827,2.08022,0.0891525,0.00115248,0.00115248
14,17.9413,2.69706,3.6268,1.76796,0.00109,0.07143,0.07099,0.05679,2.80732,4.50823,1.95141,0.0882442,0.00124423,0.00124423
15,19.099,2.11201,2.82959,1.56033,0.00109,0.07143,0.07099,0.05679,2.80732,4.50823,1.95141,0.0873353,0.00133532,0.00133532
16,20.3791,2.06366,2.92796,1.49284,0.00348,0.07143,0.0716,0.06444,2.53495,4.40469,1.85532,0.0864258,0.00142575,0.00142575
17,21.6643,2.20102,3.57941,1.49089,0.00348,0.07143,0.0716,0.06444,2.53495,4.40469,1.85532,0.0855155,0.00151552,0.00151552
18,22.8736,2.28402,3.64832,1.62717,0.01429,0.07143,0.07436,0.05949,2.48613,4.37847,1.97552,0.0846046,0.00160463,0.00160463
19,24.1279,2.22987,3.2595,1.51625,0.01429,0.07143,0.07436,0.05949,2.48613,4.37847,1.97552,0.0836931,0.00169308,0.00169308
20,25.3773,2.09567,2.69809,1.52436,0.01099,0.07143,0.07352,0.04411,2.33079,4.35901,2.14296,0.0827809,0.00178087,0.00178087
21,26.72,1.97021,3.04341,1.44564,0.01099,0.07143,0.07352,0.04411,2.33079,4.35901,2.14296,0.081868,0.001868,0.001868
22,27.9383,1.93338,3.13494,1.3771,0.01587,0.07143,0.07476,0.02147,2.39026,4.45658,2.28054,0.0809545,0.00195447,0.00195447
23,29.1583,1.99413,2.93034,1.37421,0.01587,0.07143,0.07476,0.02147,2.39026,4.45658,2.28054,0.0800403,0.00204028,0.00204028
