epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85144,2.8305,5.21683,2.01919,0,0,0,0,2.40048,5.21344,2.22545,0.1,0,0
2,3.50063,2.66967,5.08836,2.13317,0,0,0,0,3.14924,4.9118,2.35796,0.0990997,9.967e-05,9.967e-05
3,5.15115,2.30871,4.62178,1.68586,0,0,0,0,2.77976,4.84411,2.13601,0.0981987,0.00019868,0.00019868
4,6.73743,2.48799,4.50221,1.60536,0.00952,0.07143,0.07314,0.03657,2.6857,4.72355,1.97632,0.097297,0.00029703,0.00029703
5,8.39449,2.37465,4.27861,1.64045,0.00024,0.07143,0.03542,0.01771,2.80632,4.75154,1.92314,0.0963947,0.00039472,0.00039472
6,10.2912,2.20715,3.82013,1.36747,0.00024,0.07143,0.03542,0.02125,3.02069,4.71528,2.0297,0.0954918,0.00049175,0.00049175
7,11.814,1.84562,3.65984,1.42131,0.00024,0.07143,0.07078,0.04247,2.54164,4.59966,1.86557,0.0945881,0.00058812,0.00058812
8,13.3221,2.64321,4.07092,1.55925,0.00024,0.07143,0.03542,0.02125,2.54855,4.57954,1.97968,0.0936838,0.00068383,0.00068383
9,14.7568,2.92961,5.14104,1.94897,0.00024,0.07143,0.03542,0.02125,2.54855,4.57954,1.97968,0.0927789,0.00077888,0.00077888
10,16.3785,2.11101,3.34518,1.40723,0.00024,0.07143,0.07078,0.04954,2.76041,4.68136,2.42182,0.0918733,0.00087327,0.00087327
11,20.9147,2.75594,3.4023,1.69031,0.00024,0.07143,0.07078,0.04954,2.76041,4.68136,2.42182,0.090967,0.000967,0.000967
12,25.8164,2.69491,4.38029,1.74681,0.00571,0.07143,0.07217,0.05052,2.85534,4.66857,2.45042,0.0900601,0.00106007,0.00106007
13,27.8243,2.30203,3.68112,1.64295,0.00571,0.07143,0.07217,0.05052,2.85534,4.66857,2.45042,0.0891525,0.00115248,0.00115248
14,29.3623,2.10489,3.44916,1.5265,0.01786,0.07143,0.01466,0.00586,2.96503,4.65447,2.47752,0.0882442,0.00124423,0.00124423
15,30.9166,2.32856,3.38246,1.67281,0.01786,0.07143,0.01466,0.00586,2.96503,4.65447,2.47752,0.0873353,0.00133532,0.00133532
16,32.6125,2.2748,3.25704,1.39633,0.00332,0.07143,0.00253,0.00025,2.89607,4.70371,2.49252,0.0864258,0.00142575,0.00142575
17,34.1354,2.14396,3.22254,1.31579,0.00332,0.07143,0.00253,0.00025,2.89607,4.70371,2.49252,0.0855155,0.00151552,0.00151552
18,35.6391,2.22276,3.22733,1.69671,0.00216,0.07143,0.00257,0.00051,3.12049,4.66199,2.94028,0.0846046,0.00160463,0.00160463
19,37.1044,1.92272,2.80454,1.35014,0.00216,0.07143,0.00257,0.00051,3.12049,4.66199,2.94028,0.0836931,0.00169308,0.00169308
20,38.6495,2.01404,3.27288,1.51479,0.00051,0.07143,0.00285,0.00085,3.47872,4.70832,3.6335,0.0827809,0.00178087,0.00178087
21,40.2987,2.43612,3.84844,1.67268,0.00051,0.07143,0.00285,0.00085,3.47872,4.70832,3.6335,0.081868,0.001868,0.001868
22,41.8809,2.21768,2.73144,1.37482,0.00024,0.07143,0.0089,0.00356,3.61729,4.69391,4.98325,0.0809545,0.00195447,0.00195447
23,43.4268,2.20078,3.4442,1.51462,0.00024,0.07143,0.0089,0.00356,3.61729,4.69391,4.98325,0.0800403,0.00204028,0.00204028
24,44.9362,2.25995,3.31417,1.52981,0.00024,0.07143,0.0089,0.00356,3.61729,4.69391,4.98325,0.0791254,0.00212543,0.00212543
25,46.511,2.27608,3.17863,1.53483,0.00024,0.07143,0.00117,0.00035,3.67144,4.66487,5.8522,0.0782099,0.00220992,0.00220992
26,48.1207,2.19943,3.28912,1.46521,0.00024,0.07143,0.00117,0.00035,3.67144,4.66487,5.8522,0.0772938,0.00229375,0.00229375
27,49.6014,2.37313,3.45723,1.57691,0.00024,0.07143,0.00117,0.00035,3.67144,4.66487,5.8522,0.0763769,0.00237692,0.00237692
28,51.1978,2.17545,3.02411,1.50176,0.00024,0.07143,0.00163,0.00049,3.58452,4.63764,5.86783,0.0754594,0.00245943,0.00245943
